Study Hours per Week,Attendance Rate,Major,High School GPA,Extracurricular Activities,Part-Time Job,Library Usage per Week,Online Coursework Engagement,Sleep Hours per Night,College GPA
24.71,67.5,Engineering,3.2,2,Yes,6.37,11.21,,2.84
24.48,62.72,Engineering,2.4,2,No,14.66,3.33,4.68,2.06
24.68,63.27,Arts,2.12,4,No,8.1,0.82,7.66,1.83
37.75,56.36,Science,2.6,2,No,14.95,2.3,8.7,2.31
27.27,76.29,Arts,3.35,1,No,18.01,9.85,6.53,2.94
14.38,57.09,Arts,3.16,2,Yes,11.92,7.85,9.49,2.24
17.48,,Arts,2.66,2,Yes,3.28,12.7,4.75,2.61
27.91,,Science,3.67,4,Yes,19.02,1.59,6.93,2.53
2.41,86.38,Business,2.55,1,No,10.65,12.44,7.85,2.39
26.67,51.21,Business,2.52,0,Yes,4.79,9.76,7.42,2.46
26.83,71.51,Business,3.12,3,No,8.17,3.22,,2.38
8.42,82.61,Arts,2.96,0,Yes,14.42,11.05,8.1,2.51
5.16,92.66,Business,2.89,0,No,18.71,11.12,8.95,2.52
12.62,73.77,Engineering,2.31,1,Yes,18.13,1.62,7.97,1.74
14.55,98.46,Business,3.01,1,No,2.81,4,6.07,2.37
22.81,,Science,2.52,2,No,17.44,9.58,5.64,2.47
17.54,50.68,Arts,2.78,3,No,11.8,5.71,6.1,2.02
39.53,74.19,Arts,3.47,4,Yes,8.19,11.48,6.45,3.36
4.08,62.81,Business,3.87,1,Yes,9.29,8.04,8.96,2.23
8.36,91.19,Arts,3.55,1,No,15.89,12.85,8.27,2.87
6.45,61.64,Arts,2.81,2,No,16.9,1.67,8.96,1.59
26.12,65.53,Arts,3.19,3,No,13.16,11.01,,2.84
10.13,89.56,Arts,3.49,4,Yes,1.17,6.97,8.89,2.49
18.65,85.76,Engineering,2.83,3,Yes,16.17,7.79,9.77,2.55
9.78,77.9,Science,2.72,3,No,0.51,4.26,9.7,1.99
6.36,85.25,Engineering,2.27,2,No,7.76,4.04,5.93,1.85
4.42,70.93,Business,3.47,0,Yes,8.88,2.85,6.35,1.88
26.25,50.27,Business,3.68,1,Yes,10.12,5.6,7.45,2.45
5.53,50.57,Arts,2.63,0,No,5.12,3.58,8.14,1.54
7.86,75.56,Arts,3.57,0,No,8.38,2.85,6.79,2.03
14.75,54.16,Business,3.22,0,Yes,15.75,14.43,8.73,2.68
32.84,52.55,Arts,3.57,2,No,5.43,6.71,7.79,2.69
3.88,98.28,Engineering,2.82,4,Yes,16.27,10.17,7.58,2.46
33.52,92.95,Arts,3.5,3,No,0.25,5.61,4.87,3.02
3.84,57.6,Engineering,2.82,0,No,2.86,8.55,5.03,1.95
39.06,50.03,Science,2.18,4,Yes,18.51,7.49,5.88,2.52
18.75,97.08,Engineering,3.1,2,Yes,9.41,,9.77,2.83
39.07,63.92,Business,2.91,4,No,1.02,10.84,,3.07
24.19,59.29,Business,2.51,2,Yes,12.21,9.96,9.76,2.49
29.57,84.58,Business,3.78,3,Yes,9.12,11.43,6.86,3.29
1.57,55.45,Engineering,2.77,1,Yes,1.77,2.19,6.62,1.43
11.31,63.23,Science,2.08,1,No,6.96,1.41,9.08,1.53
4.81,98.75,Business,2.76,3,Yes,12.29,5.08,8.99,2.14
11.85,81.97,Arts,2.85,2,No,12.55,7.23,4.8,2.31
4.75,76.03,Engineering,3.72,1,No,17.74,3.37,8.87,2.03
12.72,69.9,Science,3.6,0,No,9.85,11.6,7.06,2.69
16.57,88.73,Engineering,2.4,2,No,2.09,10.79,5.94,2.62
2.57,57.05,Engineering,3.68,1,Yes,2.27,13.7,4.65,2.47
27.7,98.37,Science,2.5,1,Yes,8.34,10.93,7.55,3.03
22.66,93.06,Engineering,2.68,0,No,3.71,1.61,8.68,2.27
10.62,80.88,Business,2.15,3,Yes,18.42,9.97,9.31,2.28
20.93,52.15,Science,2.11,1,Yes,4.24,6.18,,1.98
3.76,,Engineering,3.36,0,No,7.53,3.89,4.74,2.04
23.04,95.66,Arts,3.85,4,Yes,10.25,9.03,6.38,3.1
37.17,76.23,Science,2.99,3,Yes,6.61,4.53,,2.74
12.74,67.71,Arts,3.69,2,Yes,13.29,7.96,7.81,2.45
26.7,56.01,Engineering,3.59,3,Yes,12.11,8.64,9.33,2.7
5.27,87.75,Arts,3.33,1,Yes,18.79,7.94,8.12,2.37
28.65,94.25,Science,3.96,1,Yes,16.64,0.16,6.33,2.66
11.58,,Engineering,3.6,0,Yes,12.06,5.23,8.56,2.09
7.33,87.95,Science,2.55,1,No,8.93,11.86,9.98,2.49
23.46,50.85,Engineering,3.58,3,Yes,12.3,5.2,4.01,2.34
0.8,98.35,Business,3.39,0,Yes,12.46,7.64,8.97,2.36
33.16,80.75,Business,2.8,4,Yes,5.39,5.2,5.96,2.68
0.19,77.62,Business,2.15,4,Yes,3.56,2.99,8.48,1.52
27.11,64.8,Arts,2.43,4,Yes,10.38,3,5.42,2.13
10.8,,Arts,3.59,0,Yes,6.15,11.23,5.21,2.88
29.41,63.3,Business,2.5,3,No,7.7,9.42,8.86,2.62
38.49,91.41,Science,4,0,Yes,0.03,13.98,8.6,3.81
9.95,99.26,Science,3.39,2,No,13.63,6.32,8.87,2.51
23.05,89.17,Engineering,2.95,0,Yes,1.16,9.55,8.54,2.84
23.68,75.95,Science,3.14,1,Yes,14.71,7.03,4.58,2.61
22.89,53.3,Science,3.22,4,No,4.16,7.11,,2.38
8.92,73.62,Arts,3.94,0,Yes,3.3,12.81,6.27,2.8
38.11,71.91,Science,2.32,2,Yes,12.01,6.81,5.32,2.71
17.89,60.14,Science,2.54,1,Yes,19.67,13.92,7.41,2.61
33.86,71.18,Engineering,3.42,3,Yes,8.44,9.31,,3.03
27.98,67.89,Business,2.48,0,No,17.39,1.28,8.26,2.08
11.9,58.18,Business,3.74,4,No,1.24,1.02,8.17,1.88
32.55,,Arts,2.69,1,Yes,10.17,14.73,9.1,3.19
15.86,63.14,Arts,2.36,0,No,13.64,5.99,9.96,2.02
35.24,76.1,Engineering,2.1,1,No,7.51,8.81,8.8,2.75
23.25,51.76,,3.19,1,Yes,2.59,6.47,4.85,2.33
35.27,95.31,Engineering,3.65,1,No,0.31,2.38,8.58,2.91
27.7,90.82,Business,2.55,2,Yes,7.73,1.88,,2.36
29.01,77.63,Business,3.84,0,Yes,14.85,3.19,7.38,2.67
20.05,,Engineering,3.52,1,No,19.81,9.08,6.02,2.91
38.24,98.12,Business,2.12,0,Yes,9.26,8.2,4.96,3.01
25.76,55.53,Science,3.15,1,Yes,5.9,4.93,5.04,2.32
16.95,81.54,Science,3.13,4,No,6.93,0.66,4.35,2.07
24.26,99.9,Business,2.4,0,Yes,1.84,4.86,8.83,2.53
0.77,99.39,Engineering,2.67,0,Yes,9,5.97,,2.08
12.06,80.17,Science,2.92,4,No,12.54,11.35,9.14,2.59
26.41,56.4,Science,2.1,0,No,12.47,11.06,,2.49
11.6,79.16,Business,2.3,1,Yes,0.26,3.32,5.01,1.88
24.72,50.1,Arts,2.33,2,No,12.67,3.42,8.42,1.93
17.15,59.95,Arts,2.76,0,No,13.31,9.42,7.35,2.35
5.42,,Business,3.49,4,No,10.04,9.78,4.65,2.64
11.93,66.52,Business,3.66,2,Yes,18.9,8.42,9.43,2.44
22.8,81.92,Science,2.33,0,Yes,5.16,1.68,9.41,2.08
23.63,64.04,Engineering,3.5,1,No,17.04,4.29,7.77,2.39
22.97,97.39,Engineering,3.34,3,No,3.48,0.48,6.52,2.42
26.13,86.43,Science,3.78,3,Yes,5.24,11.42,5.43,3.22
26.08,66.48,Science,3.94,2,No,4.1,12.1,4.59,3.11
17.26,89.59,Engineering,2.25,4,Yes,17.71,13.81,8.84,2.81
35.86,55.41,Arts,2.16,0,No,15.87,1.32,9.8,2.08
14.7,69.62,Arts,3.6,3,Yes,9.01,13.59,4.08,2.87
17.43,61.06,Engineering,2.32,3,No,7.56,13.78,6.88,2.55
35.68,,Business,2.39,0,Yes,0.26,14.97,4.64,3.33
32.25,55.12,Business,3.76,0,Yes,14.04,11.67,6.51,3.08
28.16,69.85,Science,3.88,4,Yes,19.3,3.94,,2.64
4.01,63.83,Arts,2.64,0,No,15.57,3.97,,1.66
36.78,,,3.68,3,No,4.66,10.32,4.1,3.28
28.57,67.49,Business,3.72,0,No,5.29,10.2,9.93,3
39.95,85.32,Business,3.21,1,No,8.46,9.9,9.55,3.31
5.98,51.23,Engineering,3.13,3,No,8.15,5.3,8.63,1.8
34.73,81.7,Science,3.15,2,Yes,4.65,7.8,6.4,2.99
6.5,61.53,Science,2.6,4,Yes,15.83,4.52,8.14,1.73
24.62,63.44,Arts,3.24,3,No,15.72,8.95,,2.66
4.95,90.01,Business,2.49,0,Yes,14.13,11.59,6.04,2.42
33.92,97.78,Science,2.36,4,No,0.1,10.48,4.24,3.11
32.29,65.83,Engineering,2.83,4,No,18.35,6.49,7.73,2.61
22.76,91.34,Engineering,3.41,2,Yes,6.75,7.87,9.69,2.86
16.29,55.2,Engineering,3.24,1,Yes,0.58,11.59,8.49,2.54
2.77,81.7,Business,3.93,1,Yes,12.75,3.49,5.37,2.1
27.9,87.55,Engineering,3.29,0,No,14.75,3.32,7.33,2.62
18.14,57.8,Business,2.28,1,No,13.42,7.27,6.34,2.09
28.88,71.3,Science,2.32,4,No,7.82,7.41,7.28,2.51
34.66,94.64,Engineering,2.19,0,No,17.22,0.35,8.34,2.38
39.02,55.18,Business,2.38,1,No,7.13,8.73,6.92,2.7
34.23,50.9,Arts,3.2,0,Yes,10.77,6.27,9.47,2.58
0.47,79.53,Science,3.68,4,No,18.44,8.65,8.15,2.3
14.4,71.78,Science,3.79,4,No,14.56,13.72,6.11,2.94
29.2,89.93,Business,2.8,3,No,1.89,5,7.67,2.66
6.87,96.17,Business,3.12,1,Yes,15.54,1.62,6.73,2.02
20.84,64.96,Science,3.62,1,Yes,18.03,3.1,8.75,2.28
2.17,69.42,Business,2.62,2,No,16.51,4.6,4.04,1.71
8,74.31,Engineering,3.19,1,Yes,9.54,12.95,7.51,2.6
0.74,79.41,Business,2.35,0,Yes,16.5,8.24,4.14,1.95
31.75,99.19,Science,2.95,0,No,1.51,14.93,9.88,3.52
8.96,84.87,Engineering,2.35,4,No,5.08,4.28,7.05,1.95
13.81,69.48,Business,2.92,0,No,17.34,1.03,5.67,1.84
37.12,63.19,Engineering,2.79,2,Yes,0.83,4.52,4.66,2.56
28.18,97.23,Business,2.87,4,Yes,7.96,14.89,6.05,3.39
1.27,56.78,Science,2.49,4,Yes,17.21,11.15,7.8,1.97
6.59,86.01,Science,2.27,4,Yes,8.92,13.73,9.84,2.51
24.86,96.27,Engineering,2.55,1,Yes,1.69,8.92,4.57,2.82
23.09,83.23,Science,2.48,0,Yes,9.18,4.13,5.26,2.3
9.52,71.15,Science,3.47,1,No,14.64,14.32,5.66,2.77
37.37,,Engineering,3.43,3,No,6.33,3.44,8.6,2.62
24.56,68.37,Engineering,3.17,4,Yes,18.13,5.96,,2.49
21.43,85.34,Science,2.18,3,No,18.82,4.4,9.37,2.23
23.6,82.48,Engineering,3.13,1,No,3.36,9.65,,2.84
29.2,96.4,Engineering,2.16,0,No,1.87,6.27,8.31,2.65
12.48,93.34,Business,2.04,4,No,5.99,14.36,8.56,2.71
15.93,90.81,Arts,2.71,3,Yes,9.38,14.51,9.36,2.95
8.39,95.57,Science,2.48,3,No,3.14,1.45,5.25,1.88
7.45,63.82,Science,3.19,4,No,4.83,13.92,8.34,2.55
37.77,68.48,Business,3.86,2,No,18.67,11.97,6.12,3.39
29.58,68.99,Science,3.44,4,Yes,14.3,10.69,6.33,3
19.62,78.02,Science,3.53,3,Yes,11.96,5.44,7.05,2.52
9.1,83.41,Science,3.9,1,No,14.16,10.19,4.79,2.72
10.17,,Engineering,3.27,1,No,0.05,12.16,6.15,2.53
2.32,50.97,Science,3.16,3,No,2.91,12.46,9.64,2.19
17.38,69.96,Science,3.2,1,No,13.84,12.09,5.08,2.74
12.47,65.43,Arts,3.73,1,No,14.3,4.8,5.89,2.22
27.85,97.11,Business,2.78,2,No,17.06,2.78,8.84,2.55
15.11,94.41,Business,3.59,3,Yes,11.71,8.16,5.5,2.76
7.18,93.02,Engineering,3.3,0,No,11.15,3.81,4.99,2.19
0.99,82.65,Science,2.61,2,Yes,7.95,11.77,5.14,2.29
2.69,67.21,Science,2.03,3,No,16.33,0.67,,1.29
27.18,77.44,Science,2.42,1,No,17.04,6.38,6.48,2.48
18.15,90.76,Science,3.4,1,No,9.03,11.68,6.38,2.99
21.46,54.93,Engineering,3.16,0,No,7.51,1.21,,1.96
35.87,90.05,Arts,2.55,1,Yes,1.01,10.3,4.38,3.12
39.61,52.06,Business,2.87,0,No,15.84,3.47,5.02,2.46
8.68,90.82,Arts,3.32,1,Yes,13.46,1.91,8.32,2.08
26.52,90.38,Science,2.25,4,Yes,8.78,4.62,5.92,2.44
10.53,52.55,Arts,2.86,4,No,10.09,0.29,8.21,1.52
0.83,81.36,Arts,2.83,1,Yes,17.92,9.45,4.14,2.17
30.34,75.12,Business,3.09,0,Yes,17.55,4.99,7.54,2.61
12.8,58.49,Arts,3.04,0,Yes,3.58,14.91,7.27,2.66
15.34,57.42,Arts,2.74,2,Yes,16.98,1.47,4.87,1.74
23.53,88.66,Arts,3.53,4,No,10.19,13.42,4.71,3.25
33.24,78.38,,2.13,2,Yes,2.12,7.47,9.57,2.65
25.16,99.15,Engineering,2.07,0,No,6.23,1.77,7.03,2.26
34.91,99.11,Engineering,2.84,1,No,13.74,12.84,4.3,3.43
10.94,99.63,Arts,3.79,4,Yes,17.87,1.67,4.89,2.33
31.92,55.93,Engineering,2.56,3,Yes,2.17,9.69,8.04,2.64
7.43,96.91,Arts,2.34,1,Yes,12.19,3.68,6.86,1.99
38.11,62.23,Arts,3.86,0,No,13.56,6.74,7.59,2.99
27.5,72.91,Engineering,2.34,4,Yes,5.52,8.6,6.75,2.57
8.62,87.87,Science,2.75,0,No,15.13,13.8,9.55,2.7
37.89,60.18,Arts,3.46,0,No,2.07,4.27,8.95,2.7
29.23,78.32,Arts,2.52,3,No,4.79,5.82,9.88,2.53
10.16,,Business,2.46,0,No,0.01,2.99,9.64,1.66
8.53,55.24,Engineering,2.8,0,Yes,10.05,5.15,8.37,1.81
20.73,55.83,Business,3.57,0,No,5.27,1.89,,2.1
1.03,67.88,Arts,3.82,3,No,1.56,8.22,9.99,2.21
8.3,50.23,Business,2.06,2,No,17.62,8.39,,1.78
16.99,71.24,Arts,2.33,0,Yes,3.97,9.35,4.37,2.34
14.97,83.21,Business,3.92,0,Yes,11.35,3.46,9.95,2.42
18.54,70.08,Arts,3.19,1,No,5.43,6.49,7.42,2.39
11.11,54.29,Engineering,3.1,4,No,11.95,0.62,,1.64
23.47,53.13,Business,3.63,4,No,13.09,0.6,4.12,2.07
34.55,63.91,Business,2.08,4,No,14.51,4.64,6.57,2.33
4.7,58.47,Science,2.03,4,No,5.91,7.34,5.1,1.7
20.7,98.25,Science,3.93,4,No,0.95,10.39,8.31,3.18
5.28,,Engineering,3.66,1,Yes,17.15,11.38,,2.38
28.67,90.27,Arts,3.49,3,Yes,19.39,6.03,7.2,2.89
15.84,,Science,2.31,4,No,17.72,11.33,,2.52
22.62,78.46,Engineering,2.95,1,No,1.65,10.91,8.29,2.81
7.33,75.6,Engineering,3.87,1,Yes,15.7,9.49,9.72,2.54
5.79,98.59,,3.87,0,No,9.72,2.12,4.26,2.24
19.52,68.19,Arts,2.02,4,No,12.64,4.31,4.62,1.96
14.22,89.4,Business,3.5,1,No,12.23,8.01,7.09,2.66
37.62,77.76,Business,2.01,1,No,10.7,12.21,9.89,3.03
30.61,69.78,Engineering,3.97,1,No,13.5,6.05,6.47,2.86
29.95,97.77,Engineering,2.83,1,No,12.33,14.51,,3.4
36.15,79.92,Engineering,3.95,2,Yes,11.54,9.98,8.57,3.36
3.34,55.95,Business,2.74,1,No,2.86,4.7,9.57,1.64
22.09,70.88,Science,2.59,3,No,17.3,8.42,5.06,2.47
23.38,89.08,Arts,2.63,3,Yes,15.07,5.63,9.47,2.51
38.48,84.69,Engineering,3.46,4,No,19.29,13.68,7.76,3.59
11.69,95.82,Business,2.4,4,Yes,15.83,0.73,8.83,1.9
9.63,62.97,Business,3.73,4,Yes,11.65,3.43,5.77,2.03
4.01,87.91,Arts,3.18,1,No,18.34,1.45,7,1.87
0.66,72.99,Science,3.94,4,No,13.09,12.08,5.25,2.54
37.18,78.68,Engineering,3.97,4,No,6.2,2.87,9.13,2.9
26.8,97.75,Arts,2.37,3,Yes,3.51,11.14,5.23,2.98
31.41,98.96,,3.91,4,No,12.09,8.42,7.29,3.31
11.27,93.08,Science,2.09,0,Yes,14.72,12.45,6.51,2.57
23.46,67.95,Engineering,2.06,1,No,16.48,14.92,4.3,2.78
2.56,94.39,Business,3.89,1,No,5.71,2.31,6.47,2.13
19.43,81.93,Business,3.92,1,No,18.04,2.26,8.71,2.44
39.1,71.5,Arts,2.29,0,No,11.56,9.54,,2.9
35.06,51.79,Business,2.88,2,Yes,14.46,0.54,5.83,2.15
13.53,88.51,Engineering,2.99,2,No,16.16,12.26,6.67,2.79
38.46,75.11,Business,3.72,3,No,18.63,5.65,8.65,3.02
9.27,89.31,Arts,3.26,2,Yes,5.8,5.98,8.01,2.34
37.97,87.4,Arts,3.55,0,No,7.85,8.58,4.67,3.28
37.66,89.68,Science,2.97,3,No,18,5.13,7.19,2.92
31.97,65.03,,3.3,1,Yes,16.69,4.5,5.19,2.57
25.22,90.04,Business,3.47,4,No,7.98,3.07,9.87,2.6
34.97,77.44,Business,3.48,1,No,9.35,10.78,8.43,3.24
11.72,73.67,Business,2,4,Yes,14.34,11.53,4.49,2.3
33.96,83.76,Science,2.2,4,Yes,1.22,9.12,5.49,2.84
24.72,51.07,Science,2.73,1,No,7.35,3.54,4.47,2.05
0.53,,Business,2.12,0,Yes,4.12,10.42,6.22,1.79
13.89,,,2.77,1,Yes,10.38,2.37,,1.84
5.93,99.15,Arts,2.78,0,Yes,15.44,13.17,4.4,2.71
39.27,56.99,Science,3.84,2,Yes,2.6,6.69,4.99,2.96
19.13,66.53,Arts,3.13,2,No,19.73,7.14,5.6,2.4
19.9,52.55,Business,3.41,1,No,9.34,3.06,7.74,2.08
25.58,,Arts,3.77,0,No,15.46,9.23,9.85,2.86
14.74,66.02,Engineering,2.88,1,No,7.05,14.78,8.94,2.73
5.48,,Business,2,0,Yes,9.76,8.84,5.21,2.2
32.88,92.26,Arts,2.57,0,No,19.3,9.79,8.26,3.04
7.59,69.14,Arts,3.63,1,Yes,13.81,4.33,7.34,2.08
20.45,51.24,Science,3.8,0,No,0.51,4.89,6.95,2.3
8.97,91.55,Arts,2.7,0,No,4.64,2.95,9.45,2.01
3.91,,Science,2.59,3,No,5.19,7.72,7.53,2.09
34.49,57.62,Arts,3.85,3,Yes,19.18,2.22,4.82,2.55
38.92,,Arts,2.7,4,No,15.39,9.28,4.99,3.26
38.43,55.01,Science,3.3,0,No,13.57,6.98,9.53,2.8
36.26,93.36,Engineering,2.56,4,Yes,1.39,9.36,,3.1
30.96,64.71,Arts,2.2,2,No,16.08,1.06,4.83,2.04
13.33,,Arts,3,0,Yes,3.63,13.26,7.92,2.68
3.24,89.77,Business,3.85,2,No,2.98,5.68,5.35,2.32
16.29,83.88,Science,3.24,3,Yes,17.38,3.1,8.96,2.26
9.29,96.89,Science,2.42,2,Yes,0.1,7.51,6.5,2.31
5.3,81.06,Engineering,3.36,2,No,1.27,13.95,6.89,2.71
2.14,54.89,Business,3.54,1,Yes,18.39,10.41,4.77,2.18
29.02,94.22,Engineering,2.64,0,Yes,5.03,5.1,4.17,2.67
0.46,,Engineering,3.12,0,No,15.49,4.56,8.56,1.98
30.82,85.59,Arts,3.36,4,No,13.14,9.92,4.44,3.13
5.88,52.69,Arts,2.32,2,Yes,2.24,1.33,7.84,1.34
3.18,69.81,Science,3.93,3,No,15.9,5.48,7.23,2.13
3.58,58.37,Business,2.9,3,Yes,4.15,7.18,7.11,1.88
26.88,91.1,Science,3.96,2,No,13.91,11.41,5.8,3.33
9.81,85.03,Business,2.38,1,No,7.62,4.88,8.54,2.02
16.82,94.15,Science,2.97,2,No,10.9,11.88,6.4,2.9
22.29,98.33,Engineering,2.33,2,Yes,18.92,11.74,4.91,2.91
34.42,88.74,Engineering,2.02,3,No,5.18,0.29,4.34,2.27
29.08,99.71,Engineering,2.48,2,Yes,6.02,2.86,6.06,2.53
10.81,80.74,Arts,2.81,4,Yes,5.85,9.8,7.65,2.43
5.26,51.86,Business,2.86,3,Yes,7.4,7.44,5.32,1.86
2.21,50.71,Business,3.77,3,Yes,11.53,0.41,8.45,1.53
12.06,67.11,Arts,3.27,1,No,16.01,,4.65,2.15
10.48,91.17,Business,2.87,2,No,17.86,9.39,6.83,2.52
18.25,93.31,Science,3.98,3,Yes,1.22,,7.22,3.38
27.33,98.04,Engineering,3.23,2,No,13,3.1,8.93,2.68
27.83,53.26,Arts,2.65,0,No,11.85,2.29,4.71,2.04
11.34,52.23,Engineering,3.38,1,No,12.02,5.47,,2.02
15.2,,Business,2.99,3,No,15.87,8.26,7.2,2.63
7.25,65.25,Arts,3.76,4,Yes,18.76,9.97,4.9,2.44
31.54,77.9,Business,3.79,1,No,14.97,5.41,7.43,2.88
2.27,99.12,Engineering,2.73,2,No,3.43,3.43,4.2,1.96
27.88,,Business,3.12,1,No,19.09,0.08,6.94,2.18
31.15,83.29,Arts,2.53,0,Yes,17.3,2.75,6.34,2.43
31.1,70.04,Business,3.25,1,Yes,5.99,1.5,4.94,2.39
10.38,88.41,Arts,3.98,3,Yes,2.45,3.63,6.81,2.38
14.95,76.39,Arts,3.67,0,No,16.12,4.84,6.86,2.38
23.5,61.88,Arts,2.73,2,Yes,19.53,1.18,4.41,1.97
10.91,63.57,Science,2.19,0,Yes,2.55,6.09,8.06,1.86
14.83,62.9,Business,3.93,4,No,13.03,2.51,9.48,2.15
7.88,76.62,Business,2.78,1,No,0.2,8.72,7.68,2.24
18.39,85.16,Engineering,2.59,2,No,0.71,5.67,7.76,2.34
1.78,97.46,Arts,2.63,3,No,15.7,9.59,8.49,2.32
31.99,84.7,Arts,2.98,4,Yes,16.31,11.64,9.62,3.17
3.08,89.06,Engineering,3.91,1,Yes,6.99,1.27,9.89,2.03
20.75,58.45,Business,3.97,3,No,8.96,5.74,6.96,2.48
12.27,68.7,Business,2.59,4,Yes,15.59,14.67,9.67,2.62
23.1,70.69,Business,2.7,1,Yes,17.15,0.03,6.16,1.96
38.38,84.32,Arts,3.02,3,No,5.52,6.88,8.37,3.02
25.82,,Arts,2.02,2,No,15.69,7.03,9.62,2.27
1.41,65.16,Engineering,2.35,1,Yes,4.02,12.36,4.1,2.1
17.22,67.79,Science,3.87,3,Yes,8.95,4.35,9.52,2.37
20.4,90.52,Science,2.06,4,No,14.38,11.64,9.31,2.71
21.45,78.88,Arts,2.2,2,No,13.72,0.03,5.23,1.88
27.26,53.76,Business,2.84,4,No,10.05,7.36,,2.42
11.1,53.91,Business,3.46,2,Yes,13.4,4.79,4.74,2
5.15,,Science,2.54,3,Yes,1.01,12.12,8.48,2.26
15.71,88.33,Business,2.61,1,Yes,5.77,6.04,8.66,2.33
38.26,84.43,Science,2.61,3,No,4.33,1.05,9.29,2.52
7.49,85.4,Arts,3.75,4,No,1.64,10.63,,2.69
36.16,88.36,,2.45,0,Yes,4.15,,7.78,2.41
21.75,64.36,Business,3.12,3,Yes,17.2,5.02,9.06,2.3
18.28,77.41,Business,4,2,No,17.93,7.47,4.56,2.73
35.28,77.17,Science,3.46,4,Yes,10.66,11.13,4.71,3.26
18.34,86.98,Business,2.67,3,Yes,9.69,4.7,8.91,2.31
28.97,97.84,Arts,3.53,4,Yes,9.26,1.56,6.65,2.69
15.96,63.9,Business,3.91,2,Yes,19.18,12.38,8.82,2.84
36.16,,Business,2.75,2,Yes,18.82,0.15,4,2.5
27.6,83,Business,3.42,2,Yes,4.33,13.1,,3.25
27.98,79.01,Arts,2.15,1,Yes,1.9,1.6,6.21,2.13
13.11,88.74,Business,3.79,3,Yes,1.09,1.89,6.39,2.29
30.27,97.2,Science,2.19,1,No,7.15,2.49,9,2.44
25.44,51.83,Engineering,2.75,2,No,8.35,2.23,7.06,1.99
9.6,57.37,Science,3.09,0,Yes,4.95,11.92,9.51,2.38
6.42,87.81,Science,2.53,3,No,18.4,12.16,6.55,2.48
31.86,54.19,Science,3.3,3,Yes,16.74,2.54,4.4,2.33
38.37,75.81,Arts,3.11,4,No,14.89,1.69,6.75,2.61
18.33,60.99,Science,3.43,1,No,9.68,8.59,6.47,2.5
23.64,63.71,Business,2.71,0,No,17.73,10.5,7.3,2.61
34.31,,Arts,3.09,1,Yes,18.9,8.39,,3.04
18.29,51.51,Engineering,3.62,1,Yes,17.75,0.42,4.35,1.91
38.07,93.67,Science,3.62,2,Yes,5.23,11.49,7.71,3.56
23.03,72.22,Engineering,3.43,3,No,17.28,10.71,4.79,2.87
32.83,75.12,Business,3.08,1,No,7.01,10.76,6.59,3.06
